name,found,origin,end,type
Mesopotamian,-9000,Mesopotamia,331,Animism
Wuism,-9000,China,2022,Animism
Muism,-5000,Korea,2022,Shamanistic
Zoroastrianism ,-5000,Iran,-1100,Dualistic
Taoism,-4500,China,2022,Shamanistic
Shinto,-4000,China,651,Polytheistic
Confucianism,-3500,China,1500,Animism
Germanic Paganism,-3300,Scandinavia,-1300,Shamanistic
Tengrism,-3300,Central Aisa,1400,Monotheistic
Ancient Egyptian,-3100,Egypt,-332,Polytheistic
Asatro,-3000,Nordic,553,Polytheistic
Indus,-3000,Indus Valley,2022,Animism
Celtic,-2000,West Europe,-300,Pantheism
Hellenism,-2000,Greece,2022,Animism
Hinduism,-2000,India,100,Polytheistic
Jainism,-2000,India,2022,Shamanistic
Vedic,-2000,India,1500,Polytheistic
Rodnover,-1800,Russia,256,Polytheistic
Romuva,-1700,Prussia,-500,Polytheistic
Buddhism,-1650,India,2022,Polytheistic
Theravada,-1650,India,-1190,Polytheistic
Mahayana,-1500,India,-500,Polytheistic
Vajrayana,-1500,India,-400,Polytheistic
Bon,-1200,India,1400,Shamanistic
Judaism,-1200,Canaan,-400,Shamanistic
Christianity,-1100,Judea,700,Monotheistic
Shi'te,-1000,Mecca,2022,Polytheistic
Sunni,-1000,Mecca,2022,Polytheistic
Reform Judaism,-950,Germany,2022,Monotheistic
Inuit,-753,West Alaska,1000,Polytheistic
Aztec,-600,Central Mexico,-400,Polytheistic
Incan,-600,Peru,2022,Polytheistic
Roman Paganism,-550,Central Rome,1959,Nontheistic
Mayan,-520,Yucatan,2022,Nontheistic
Hawaiian,-500,Hawaii,1946,Polytheistic
Polynesian,-500,Polynesia,2022,Polytheistic
Tewahedo,-500,Tigray Regioun,1905,Nontheistic
Protestantism,-300,Germany,600,Polytheistic
Sikhism,-250,Punjab,2022,Nontheistic
Sufism,-250,Baghdad,900,Pantheism
Catholocism,-200,Palestine,500,Shamanistic
East Orthodox,-200,Rome,400,Dualistic
Canaanite,-100,Syria,500,Monotheistic
Kunda ,33,Poland,2022,Monotheistic
Sami,70,Finland,500,Monotheistic
Anasazi,100,Colorado,1030,Pantheism
Berber,100,Noth Africa,2022,Nontheistic
Yoruba,100,West Africa,2022,Monotheistic
Hopewell,200,Indiana,1200,Polytheistic
Phoenician,250,Eastern Mediterranean,650,Monotheistic
Kabbalah,270,Southern France,1300,Monotheistic
Mithraism,400,Western Rome,1200,Monotheistic
Gnosticism,500,Persia,2022,Dualistic
Manichaeism,500,Persia,2022,Dualistic
Catharism,600,Western Europe,2022,Nontheistic
Bogomilism,620,Macedonia,2022,Monotheistic
Theosophy,656,New York City,2022,Monotheistic
Neo-Platonism,800,Rome,2022,Monotheistic
Hermeticism,850,Greece,2022,Monotheistic
Bantu,940,West-Central Africa,1500,Dualistic
Nilotic,960,Nile River,1279,Polytheistic
Baha'i,1000,Persia,2022,Shamanistic
Atenism,1054,Egypt,2022,Monotheistic
Shenism ,1054,Singapore,2022,Monotheistic
Minoan ,1100,Crete,1530,Polytheistic
Ashurism,1200,Tigris River,1512,Pantheism
Vedism,1200,India,2022,Dualistic
Olmec ,1270,Southern Mexico,2022,Monotheistic
Orphism,1346,Greece,1400,Monotheistic
Neoplatonism,1500,Rome,2022,Monotheistic
Hittite ,1517,Black Sea,2022,Monotheistic
Basque ,1809,Southwest France,2022,Polytheistic
Kemetism Orthodox,1988,Egypt,2022,Polytheistic
