name,found,origin,end,type
Sufism,-250,Baghdad,900,Pantheism
Hittite,1517,Black Sea,2022,Monotheistic
Judaism,-1200,Canaan,-400,Shamanistic
Tengrism,-3300,Central Aisa,1400,Monotheistic
Aztec,-600,Central Mexico,-400,Polytheistic
Roman Paganism,-550,Central Rome,1959,Nontheistic
Shinto,-4000,China,651,Polytheistic
Confucianism,-3500,China,1500,Animism
Wuism,-9000,China,2022,Animism
Taoism,-4500,China,2022,Shamanistic
Anasazi,100,Colorado,1030,Pantheism
Minoan,1100,Crete,1530,Polytheistic
Phoenician,250,Eastern Mediterranean,650,Monotheistic
Ancient Egyptian,-3100,Egypt,-332,Polytheistic
Atenism,1054,Egypt,2022,Monotheistic
Kemetism Orthodox,1988,Egypt,2022,Polytheistic
Sami,70,Finland,500,Monotheistic
Protestantism,-300,Germany,600,Polytheistic
Reform Judaism,-950,Germany,2022,Monotheistic
Orphism,1346,Greece,1400,Monotheistic
Hellenism,-2000,Greece,2022,Animism
Hermeticism,850,Greece,2022,Monotheistic
Hawaiian,-500,Hawaii,1946,Polytheistic
Theravada,-1650,India,-1190,Polytheistic
Mahayana,-1500,India,-500,Polytheistic
Vajrayana,-1500,India,-400,Polytheistic
Hinduism,-2000,India,100,Polytheistic
Bon,-1200,India,1400,Shamanistic
Vedic,-2000,India,1500,Polytheistic
Jainism,-2000,India,2022,Shamanistic
Buddhism,-1650,India,2022,Polytheistic
Vedism,1200,India,2022,Dualistic
Hopewell,200,Indiana,1200,Polytheistic
Indus,-3000,Indus Valley,2022,Animism
Zoroastrianism,-5000,Iran,-1100,Dualistic
Christianity,-1100,Judea,700,Monotheistic
Muism,-5000,Korea,2022,Shamanistic
Bogomilism,620,Macedonia,2022,Monotheistic
Shi'te,-1000,Mecca,2022,Polytheistic
Sunni,-1000,Mecca,2022,Polytheistic
Mesopotamian,-9000,Mesopotamia,331,Animism
Theosophy,656,New York City,2022,Monotheistic
Nilotic,960,Nile River,1279,Polytheistic
Asatro,-3000,Nordic,553,Polytheistic
Berber,100,Noth Africa,2022,Nontheistic
Catholocism,-200,Palestine,500,Shamanistic
Gnosticism,500,Persia,2022,Dualistic
Manichaeism,500,Persia,2022,Dualistic
Baha'i,1000,Persia,2022,Shamanistic
Incan,-600,Peru,2022,Polytheistic
Kunda,33,Poland,2022,Monotheistic
Polynesian,-500,Polynesia,2022,Polytheistic
Romuva,-1700,Prussia,-500,Polytheistic
Sikhism,-250,Punjab,2022,Nontheistic
East Orthodox,-200,Rome,400,Dualistic
Neo-Platonism,800,Rome,2022,Monotheistic
Neoplatonism,1500,Rome,2022,Monotheistic
Rodnover,-1800,Russia,256,Polytheistic
Germanic Paganism,-3300,Scandinavia,-1300,Shamanistic
Shenism,1054,Singapore,2022,Monotheistic
Kabbalah,270,Southern France,1300,Monotheistic
Olmec,1270,Southern Mexico,2022,Monotheistic
Basque,1809,Southwest France,2022,Polytheistic
Canaanite,-100,Syria,500,Monotheistic
Tewahedo,-500,Tigray Regioun,1905,Nontheistic
Ashurism,1200,Tigris River,1512,Pantheism
Yoruba,100,West Africa,2022,Monotheistic
Inuit,-753,West Alaska,1000,Polytheistic
Celtic,-2000,West Europe,-300,Pantheism
Bantu,940,West-Central Africa,1500,Dualistic
Catharism,600,Western Europe,2022,Nontheistic
Mithraism,400,Western Rome,1200,Monotheistic
Mayan,-520,Yucatan,2022,Nontheistic
