name,found,origin,end,type
Indus,-3300,South-Asia,-1300,Animism
Mesopotamian,-3100,West-Asia,-539,Polytheistic
Ancient Egyptian,-3100,West-Asia,-332,Polytheistic
Jainism,-3000,South-Asia,2022,Shamanistic
Romuva,-3000,West-Europe,1400,Polytheistic
Canaanite,-2300,West-Asia,-1250,Polytheistic
Hinduism,-2000,South-Asia,2022,Polytheistic
Polynesian,-2000,Polynesia,1900,Polytheistic
Berber,-2000,North-Africa,800,Monotheistic
Vedic,-1500,South-Asia,600,Polytheistic
Phoenician,-1500,West-Asia,-300,Polytheistic
Celtic,-1200,West-Europe,-400,Polytheistic
Wuism,-1046,East-Asia,1900,Shamanistic
Muism,-1000,East-Asia,2022,Polytheistic
Roman Paganism,-650,South-Europe,313,Nontheistic
Zoroastrianism,-600,West-Asia,650,Monotheistic
Shinto,-600,East-Asia,2022,Animism
Confucianism,-600,East-Asia,2022,Nontheistic
Mithraism,-600,South-Europe,400,Monotheistic
Zoroastrianism,-600,West-Asia,650,Monotheistic
Buddhism,-550,South-Asia,2022,Polytheistic
Taoism,-500,East-Asia,1980,Polytheistic
Germanic Paganism,-500,North-Europe,1300,Polytheistic
Tengrism,-400,Central-Asia,1400,Animism
Theravada,-400,South-Asia,2022,Polytheistic
Hellenism,-300,South-Europe,-140,Animism
Yoruba,-300,West-Africa,1420,Polytheistic
Mahayana,-100,South-Asia,2022,Polytheistic
Bon,-100,South-Asia,750,Polytheistic
Judaism,-100,West-Asia,2022,Monotheistic
Kabbalah,-40,West-Europe,1573,Monotheistic
Christianity,30,West-Asia,2022,Monotheistic
Catholocism,30,West-Asia,2022,Monotheistic
Sami,100,North-Europe,1700,Animism
Gnosticism,100,South-Asia,300,Polytheistic
East Orthodox,200,South-Europe,2022,Monotheistic
Anasazi,200,North-America,1300,Polytheistic
Hopewell,200,North-America,500,Polytheistic
Manichaeism,210,South-Asia,382,Dualistic
Mayan,250,Central-America,900,Nontheistic
Catharism,325,West-Europe,1244,Dualistic
Asatru,400,North-Europe,1000,Polytheistic
Tewahedo,400,South-America,1905,Monotheistic
Hawaiian,500,Polynesia,1900,Polytheistic
Bogomilism,620,South-Europe,2022,Monotheistic
Shi'te,630,West-Asia,2022,Monotheistic
Sunni,630,West-Asia,2022,Monotheistic
Vajrayana,650,South-Asia,1100,Polytheistic
Theosophy,656,North-America,2022,Monotheistic
Neo-Platonism,800,South-Europe,2022,Monotheistic
Hermeticism,850,South-Europe,2022,Monotheistic
Bantu,940,Central Africa,1500,Dualistic
Nilotic,960,West-Asia,1279,Polytheistic
Inuit,1000,North-America,1900,Animism
Baha'i,1000,South-Asia,2022,Shamanistic
Atenism,1054,West-Asia,2022,Monotheistic
Shenism,1054,East-Asia,2022,Monotheistic
Minoan,1100,South-Europe,1530,Polytheistic
Incan,1200,South-America,1530,Polytheistic
Sufism,1200,West-Asia,1826,Monotheistic
Ashurism,1200,West-Asia,1512,Pantheism
Vedism,1200,South-Asia,2022,Dualistic
Olmec,1270,Central-America,2022,Monotheistic
Aztec,1300,Central-America,1521,Polytheistic
Orphism,1346,South-Europe,1400,Monotheistic
Protestantism,1500,West-Europe,1900,Monotheistic
Sikhism,1500,South-Asia,2022,Monotheistic
Neoplatonism,1500,South-Europe,2022,Monotheistic
Hittite,1517,South-Europe,2022,Monotheistic
Reform Judaism,1700,West-Europe,2022,Monotheistic
Rodnover,1800,East-Europe,2022,Polytheistic
Basque,1809,South-Europe,2022,Polytheistic
Kemetism Orthodox,1988,West-Asia,2022,Polytheistic
